City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Busselton,AU,66.04,clear sky,-33.65,115.3333,Observatory Guest House
4,Rikitea,PF,77.29,light rain,-23.1203,-134.9692,People ThankYou
6,Kavaratti,IN,80.85,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
11,Puerto Del Rosario,ES,65.88,haze,28.5004,-13.8627,Hotel JM Puerto del Rosario
12,Kapaa,US,73.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,San Ignacio,BZ,71.74,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
20,Puerto Ayora,EC,80.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Hermanus,ZA,68.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Carnarvon,AU,73.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
27,Saint-Philippe,RE,80.15,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Yeppoon,AU,74.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
31,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
32,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
33,Lazaro Cardenas,MX,83.43,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
35,Mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
37,Isangel,VU,77.11,heavy intensity rain,-19.55,169.2667,Tanna Lodge
38,Faanui,PF,80.15,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
40,Butaritari,KI,81.75,light rain,3.0707,172.7902,Isles Sunset Lodge
42,Guiratinga,BR,78.87,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
43,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
45,Samarai,PG,79.59,moderate rain,-10.6167,150.6667,Nuli Sapi
46,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
50,Bredasdorp,ZA,68.29,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
51,Kasongo,CD,69.75,overcast clouds,-4.45,26.6667,Guest Hôtel
53,Hilo,US,73.11,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
