City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2022-01-27 04:59:05,-33.0153,27.9116,72.54,100,100,2.3
1,Talagang,PK,2022-01-27 05:01:33,32.9297,72.4158,52.84,30,0,4.41
2,Bluff,NZ,2022-01-27 04:57:54,-46.6,168.3333,58.8,61,68,10.8
3,Albany,US,2022-01-27 05:00:54,42.6001,-73.9662,5.72,69,5,2.1
4,Hermanus,ZA,2022-01-27 05:01:34,-34.4187,19.2345,65.89,83,25,9.4
5,Faanui,PF,2022-01-27 05:01:34,-16.4833,-151.75,80.94,77,29,17.49
6,Marsa Matruh,EG,2022-01-27 05:01:35,31.3525,27.2453,49.98,62,97,17.92
7,Busselton,AU,2022-01-27 05:01:35,-33.65,115.3333,80.01,36,0,6.26
8,Mackay,AU,2022-01-27 05:01:36,-21.15,149.2,82.69,73,100,14.34
9,Kavieng,PG,2022-01-27 05:00:52,-2.5744,150.7967,83.84,73,83,6.46
10,Rikitea,PF,2022-01-27 05:01:36,-23.1203,-134.9692,78.17,79,5,18.39
11,Thompson,CA,2022-01-27 04:57:00,55.7435,-97.8558,-9.24,70,0,12.66
12,Lazaro Cardenas,MX,2022-01-27 05:01:37,17.9583,-102.2,74.08,79,49,2.93
13,Zhigalovo,RU,2022-01-27 05:01:37,54.8097,105.1578,1.54,91,90,0.98
14,Tasiilaq,GL,2022-01-27 04:57:54,65.6145,-37.6368,14.47,82,100,5.21
15,Ushuaia,AR,2022-01-27 05:01:38,-54.8,-68.3,46.67,96,100,3.04
16,Victoria,HK,2022-01-27 05:01:06,22.2855,114.1577,72.32,83,33,3.0
17,New Norfolk,AU,2022-01-27 04:57:35,-42.7826,147.0587,79.88,38,89,5.91
18,Torbay,CA,2022-01-27 05:01:38,47.6666,-52.7314,28.27,96,100,18.41
19,Mataura,NZ,2022-01-27 04:57:38,-46.1927,168.8643,58.48,44,47,7.11
20,Upernavik,GL,2022-01-27 05:01:39,72.7868,-56.1549,1.49,84,100,3.71
21,Saint-Philippe,RE,2022-01-27 05:01:39,-21.3585,55.7679,81.95,60,14,7.38
22,Nanortalik,GL,2022-01-27 05:01:40,60.1432,-45.2371,29.86,90,99,17.05
23,Hofn,IS,2022-01-27 05:01:40,64.2539,-15.2082,30.45,54,91,7.83
24,Punta Arenas,CL,2022-01-27 05:01:41,-53.15,-70.9167,50.11,76,98,10.13
25,Jamestown,US,2022-01-27 05:01:41,42.097,-79.2353,6.71,63,0,8.05
26,Hobart,AU,2022-01-27 04:58:14,-42.8794,147.3294,80.22,63,75,12.66
27,Butaritari,KI,2022-01-27 05:01:42,3.0707,172.7902,82.2,78,19,13.53
28,Conceicao Da Barra,BR,2022-01-27 05:01:42,-18.5933,-39.7322,73.31,94,34,2.95
29,Volksrust,ZA,2022-01-27 05:01:42,-27.3654,29.8818,60.13,89,66,2.13
30,Hilo,US,2022-01-27 05:01:43,19.7297,-155.09,72.25,89,1,1.01
31,Nago,JP,2022-01-27 05:01:43,26.5881,127.9761,73.47,69,46,7.2
32,Pushkinskiye Gory,RU,2022-01-27 05:01:44,57.0209,28.9103,21.9,95,100,8.9
33,Severo-Kurilsk,RU,2022-01-27 04:58:34,50.6789,156.125,25.57,65,88,30.29
34,Labytnangi,RU,2022-01-27 05:01:44,66.6572,66.4183,4.21,95,100,3.38
35,Mvuma,ZW,2022-01-27 05:01:45,-19.2792,30.5283,64.36,91,93,10.83
36,Kotma,IN,2022-01-27 04:57:04,23.2,81.9667,59.05,42,0,5.23
37,Tefe,BR,2022-01-27 05:01:45,-3.3542,-64.7114,72.57,99,97,2.13
38,Duncan,US,2022-01-27 04:59:28,34.5023,-97.9578,37.35,83,100,3.44
39,Hithadhoo,MV,2022-01-27 04:58:17,-0.6,73.0833,81.95,73,92,21.25
40,Castro,BR,2022-01-27 05:01:46,-24.7911,-50.0119,65.41,92,85,3.09
41,Mar Del Plata,AR,2022-01-27 05:01:46,-38.0023,-57.5575,63.09,71,0,1.01
42,Kruisfontein,ZA,2022-01-27 05:01:47,-34.0033,24.7314,64.89,85,54,3.74
43,Nayagarh,IN,2022-01-27 05:01:47,20.1333,85.1,70.56,34,0,6.53
44,Nyurba,RU,2022-01-27 05:01:48,63.2842,118.3319,-2.13,95,95,5.12
45,Viedma,AR,2022-01-27 05:01:48,-40.8135,-62.9967,59.04,66,0,2.24
46,Kapaa,US,2022-01-27 04:58:13,22.0752,-159.319,75.18,74,25,7.78
47,Hammerfest,NO,2022-01-27 05:02:49,70.6634,23.6821,27.05,100,75,2.3
48,Tautira,PF,2022-01-27 05:02:49,-17.7333,-149.15,84.0,78,36,15.97
49,Luderitz,NA,2022-01-27 04:58:35,-26.6481,15.1594,66.76,76,3,19.66
50,Fujin,CN,2022-01-27 05:02:50,47.26,132.0322,9.21,85,11,10.76
51,Yellowknife,CA,2022-01-27 05:02:50,62.456,-114.3525,4.41,92,98,4.0
52,Nikolskoye,RU,2022-01-27 05:02:51,59.7035,30.7861,25.88,94,100,10.07
53,Lorengau,PG,2022-01-27 05:02:51,-2.0226,147.2712,82.49,79,98,4.65
54,Kingaroy,AU,2022-01-27 04:59:54,-26.5333,151.8333,75.24,69,100,9.22
55,Punta Cardon,VE,2022-01-27 05:02:52,11.6581,-70.215,75.92,84,5,20.11
56,Bredasdorp,ZA,2022-01-27 05:02:52,-34.5322,20.0403,65.28,88,39,4.25
57,Ahipara,NZ,2022-01-27 05:00:59,-35.1667,173.1667,70.32,57,0,15.59
58,Trenggalek,ID,2022-01-27 05:02:53,-8.05,111.7167,85.91,69,99,4.21
59,Lamu,KE,2022-01-27 05:02:53,-2.2717,40.902,80.82,74,5,10.98
60,Limni,GR,2022-01-27 05:02:54,38.7667,23.3167,35.64,73,7,5.08
61,Tateyama,JP,2022-01-27 05:02:54,34.9833,139.8667,53.1,51,100,9.66
62,Georgetown,MY,2022-01-27 04:58:09,5.4112,100.3354,89.53,74,20,1.01
63,Tarbagatay,RU,2022-01-27 05:02:55,51.4803,107.3602,-6.27,86,76,3.65
64,Pontes E Lacerda,BR,2022-01-27 05:02:55,-15.2261,-59.3353,71.4,96,64,1.81
65,Gayeri,BF,2022-01-27 05:02:55,12.6497,0.4931,65.17,17,1,12.35
66,Khatanga,RU,2022-01-27 05:02:56,71.9667,102.5,1.81,85,100,13.87
67,Asfi,MA,2022-01-27 05:02:56,32.2994,-9.2372,57.4,67,31,10.54
